Data,Valor,Identificador,Descrição
05/03/2026,-890.99,75e9c245-888d-414a-a06d-3aff5ee4c13f,Aluguel / Financiamento imóvel
05/03/2026,3500.00,73d8fc89-624e-4dc5-884e-79a01ea5d765,Salário CLT
05/03/2026,3500.00,a9cb3f30-ad4a-4565-8a25-f00ce58d885f,Salário CLT
05/03/2026,1200.00,ee05da72-2a94-4104-bc5e-fb901671a40a,Freela design
05/03/2026,1500.00,67241db6-a750-4282-be1d-cfa9749966b3,Aluguel recebido
10/03/2026,-88.20,e8cc2a9e-779c-496b-9cc3-d2f2b7154edc,Internet
10/03/2026,-39.90,bda648e7-e0d2-4a78-b123-2e87a8bc5518,"Streaming (Netflix, Spotify…)"
10/03/2026,-79.14,09138fb0-4c42-4a27-9404-d9cd5af97104,Telefone / Celular
12/03/2026,-168.05,efd06a30-afe4-433e-a32a-d31d5de2a11c,Luz / Energia elétrica
15/03/2026,-182.98,a28fd651-a954-451f-ad8e-84fe84e89ab5,Plano de saúde
15/03/2026,-664.37,ce01227f-568f-43b5-b8d9-2a5a9c5554e4,Supermercado
18/03/2026,-108.38,735b3132-7ea5-4597-80e0-67fea43988d7,Água
20/03/2026,-379.75,4a5ce642-175c-4002-8bc0-23c12b6d5a90,Combustível
20/03/2026,-182.34,2b396ade-452f-4fda-8357-38b7d7cb7bcb,Restaurantes / Delivery
20/03/2026,-121.34,d5d81956-1a4e-43e9-b9b2-0e952184b487,Farmácia
