Data,Valor,Identificador,Descrição
05/03/2026,2800.00,e24bec18-81d7-4b72-9fe3-bb78e401c7f7,Salário CLT
05/03/2026,400.00,f884e8d7-9840-46ab-b410-abd823970608,Freela / Serviço avulso
05/03/2026,2800.00,39e3e123-2489-493c-a80c-65ab85ab01ac,Salário CLT
05/03/2026,1200.00,69b3e7c6-ca5b-478b-bcb8-3d0d83eefa53,Freela design
05/03/2026,1500.00,0b605b6d-9af2-48f5-a2cf-4c5884917eac,Aluguel recebido
10/03/2026,-88.87,ee535018-86ff-43f5-b7b8-8d94d0781e7a,Internet
10/03/2026,-69.06,9655bd4d-3a63-44a5-824d-257f8c4b2e99,Telefone / Celular
10/03/2026,-66.83,45431ef7-124c-43be-9b81-bb52a95f83ef,TV por assinatura
12/03/2026,-135.44,1ee6576d-ef69-4c58-8880-ac835728623f,Luz / Energia elétrica
15/03/2026,-614.68,49a7e8b3-79e4-4aeb-87e5-b46f1cd67a49,Plano de saúde
15/03/2026,-492.67,14b5ee36-c63b-4957-a096-3d3142abc42c,Supermercado
18/03/2026,-77.81,aacd19b5-2607-46cc-a20f-afedc0476b63,Água
20/03/2026,-343.51,ad163e1c-45a6-4ff6-9fc5-303d55ec30f1,Farmácia
20/03/2026,-170.95,cd26d930-7489-4d68-9e8d-b5dfe010a1ac,Combustível
20/03/2026,-250.27,1aa8d7d4-f865-4e71-a447-315635a3fa71,Consultas / Exames
