Data,Valor,Identificador,Descrição
05/05/2026,1200.00,c0376b8f-52b8-44e1-acca-14ece1d07bba,Freela design
05/05/2026,1500.00,6a1184f2-68ee-4770-9c67-c7fcf7924e90,Aluguel recebido
10/05/2026,-107.84,5156d181-b993-47fa-81cd-d78abe7869d8,Internet
10/05/2026,-90.31,dc4f83b2-ad1d-414e-8845-8cf9478ccdd7,Telefone / Celular
10/05/2026,-101.64,17663d42-45f3-4462-b2e0-e5374480d63d,TV por assinatura
10/05/2026,-70.99,c1fde4c7-fc91-4ec1-a843-f178a7783cb4,"Streaming (Netflix, Spotify…)"
10/05/2026,-97.97,b81f7d45-65a0-4e49-8e95-76e743f7ef8f,Academia
12/05/2026,-169.48,5837a96d-cb90-4c14-ba59-16e29f9c64ae,Luz / Energia elétrica
15/05/2026,-785.00,0e8d2404-be04-4bf9-84bb-969ae16b9f78,Plano de saúde
15/05/2026,-678.18,d277fb73-ada0-4da6-940a-c7a108ae9ed6,Supermercado
18/05/2026,-106.24,395155d5-7e8b-437b-badd-64b12f5da919,Água
20/05/2026,-220.96,f903152d-3e03-4cb5-bd3b-039c0597a3d6,Farmácia
20/05/2026,-221.60,4b19ee4e-fd1b-411f-a59c-a2ac937e31ef,Combustível
20/05/2026,-298.52,79b45ec7-e17e-42d6-855f-616650eecbd9,Restaurantes / Delivery
20/05/2026,-241.05,943c5f80-20ed-48dc-99a8-e0d6fbd9d4d4,Consultas / Exames
