Data,Valor,Identificador,Descrição
05/05/2026,-1786.95,95053c7e-ee7e-45bf-ae0f-8c15826fc121,Aluguel / Financiamento imóvel
05/05/2026,6500.00,7d62829e-ced9-4dfc-a78d-5950935e8a48,Salário CLT
05/05/2026,6500.00,6cdf89cd-58b7-4177-9e11-ee96bfe81b4f,Salário CLT
05/05/2026,1200.00,971fc27e-a611-4d79-923b-73d98cc7758a,Freela design
05/05/2026,1500.00,868ac5cc-6a77-4f84-8309-f419486372e6,Aluguel recebido
10/05/2026,-149.40,3afb978e-4b3a-40cc-aaee-4028a5345ce1,Internet
10/05/2026,-78.78,20224353-df94-419b-9243-6909ab33dcc0,"Streaming (Netflix, Spotify…)"
10/05/2026,-100.92,ee31bdb4-71b0-494c-b10b-9fb75e5d75d1,Telefone / Celular
10/05/2026,-108.88,3685afc0-cfe1-42cf-a014-f1bfd82008dd,Academia
10/05/2026,-89.18,16ded39c-586d-4bf7-b713-60398eda7fcb,TV por assinatura
12/05/2026,-332.48,a1e28bd4-1cfe-4cba-a9b6-7f2732eaff4f,Luz / Energia elétrica
15/05/2026,-417.92,faf538b0-83f9-4e21-a460-c460c600ebb6,Plano de saúde
15/05/2026,-1022.31,73acefdb-4b2f-49ff-8c1c-ab5574f2ddb9,Supermercado
18/05/2026,-151.74,d6fd8304-dd42-4145-8e21-b733babe3dc8,Água
20/05/2026,-243.35,d28b68cd-8b27-40a2-9dab-451bd15bdcf6,Seguro veículo
20/05/2026,-540.60,4970911f-53b2-48eb-9643-02249991cac3,Combustível
20/05/2026,-367.19,092c52da-5612-4053-a9fa-2d82d89cef1c,Restaurantes / Delivery
20/05/2026,-128.57,305a373b-6a57-43de-8112-1b54dfe0e7b7,Farmácia
20/05/2026,-593.44,392ed7a4-a3e0-4e83-91da-14c9060b0e23,Manutenção veículo
