Data,Valor,Identificador,Descrição
05/05/2026,7500.00,837d56b1-25ec-400e-86e0-5ee33fc76c08,Salário CLT
05/05/2026,4000.00,94a46176-87a6-43f6-8512-46fd95d2610d,Freela / Serviço avulso
05/05/2026,7500.00,0c1204c6-0886-4aa2-86f3-d729b76be8de,Salário CLT
05/05/2026,1200.00,f56d32a1-651d-4a35-884f-2d781a25bf65,Freela design
05/05/2026,1500.00,dba764dc-f962-4f8b-a34d-62b4d0b566ba,Aluguel recebido
10/05/2026,-108.25,2b33098e-4a1f-47e9-8db2-3474652005fb,Internet
10/05/2026,-59.43,ba79e1b6-8410-4f8c-8094-8e25ebb9f988,"Streaming (Netflix, Spotify…)"
10/05/2026,-179.82,be82a5d4-2b3d-4f9c-9be5-784f648f7138,Telefone / Celular
10/05/2026,-177.61,a4e52859-e1fd-45aa-8f19-508d4df8ae15,Academia
12/05/2026,-94.09,a5eaf4fc-2224-44dd-8e33-9aa244def3b8,Luz / Energia elétrica
15/05/2026,-480.64,b0eaba1e-19ca-41bd-9e99-758102d630f4,Plano de saúde
15/05/2026,-553.97,39c956ca-1a00-4011-9714-89b2d3c8ea14,Supermercado
20/05/2026,-402.51,f00bf240-c81d-4ec9-a89e-c9cc73d2ad79,Combustível
20/05/2026,-452.76,22004b11-b17c-44c6-983a-6f02ff375910,Restaurantes / Delivery
20/05/2026,-132.52,341cd602-53a4-4800-8480-df3b5ee797e3,Farmácia
