Data,Valor,Identificador,Descrição
05/04/2026,-1494.65,2fd64643-a6d5-4c83-bd8c-29646cfc49a8,Aluguel / Financiamento imóvel
05/04/2026,9500.00,19778e73-eefc-45d2-9542-253f4aede65c,Salário CLT
05/04/2026,1200.00,f57dba6a-c0be-4388-a084-9e8f24beaaa0,Freela / Serviço avulso
05/04/2026,9500.00,d4c634cc-3771-4919-a812-5655be5900bb,Salário CLT
05/04/2026,1200.00,65585068-019f-4148-a016-0a952ca3370e,Freela design
05/04/2026,1500.00,87cf4148-9176-4a2a-ae47-43c7dae44d11,Aluguel recebido
10/04/2026,-122.02,5e234e9d-3654-47eb-bb1d-2b0638667053,Internet
10/04/2026,-70.93,a5362a00-74a3-43f4-bb9b-ed7021dd22b6,"Streaming (Netflix, Spotify…)"
10/04/2026,-100.30,116261ad-525f-4af7-b6e7-b884f84f48cf,Telefone / Celular
10/04/2026,-97.43,0ad78f2e-eb0e-4e5d-ac23-0d92e587729a,Academia
12/04/2026,-196.16,ebf547e7-3440-46f1-ac58-8becd8fa387c,Luz / Energia elétrica
15/04/2026,-373.18,9d1be393-7e1b-405d-9772-e0a45a23f442,Plano de saúde
15/04/2026,-1038.91,88d53261-18dd-4bcc-818c-23a70a7bfe5b,Supermercado
18/04/2026,-96.40,192ac087-b1de-4974-93cc-3caee02cb04d,Água
20/04/2026,-257.01,33600091-56c7-43fb-8a4e-1d8b5cf35765,Seguro veículo
20/04/2026,-393.51,aacde9b0-38dc-4e21-b24d-fa2920f62565,Combustível
20/04/2026,-426.02,504bd378-106a-4acc-84d5-9188d35a2614,Restaurantes / Delivery
20/04/2026,-135.52,721a8fa7-0216-4408-af9e-db4ec8d80f9b,Farmácia
