Data,Valor,Identificador,Descrição
01/05/2026,-1200.00,3fbaeecc-7797-42b2-9df3-ad3bafe6e61c,Fatura cartão (em atraso)
05/05/2026,-1687.04,973b2298-7b56-4b23-aab0-0040193d5995,Aluguel / Financiamento imóvel
05/05/2026,5000.00,dec801d5-55c6-401a-85ce-19dd0b271784,Salário CLT
05/05/2026,5000.00,97d0dafb-619d-48d0-948c-054ed353c1f5,Salário CLT
05/05/2026,1200.00,d527e5d2-4d7f-4b65-b9e6-843608d7fe31,Freela design
05/05/2026,1500.00,9460f00c-2040-4afc-9818-cade49186e79,Aluguel recebido
10/05/2026,-126.05,889f1784-5d1c-43ad-bdf0-f8e0b2fb0158,Internet
10/05/2026,-78.56,78a65b3b-6f39-4c2b-8839-04237ec0801b,"Streaming (Netflix, Spotify…)"
10/05/2026,-114.31,0d88e56a-154f-4115-bdb2-6547e4c5dee4,Telefone / Celular
10/05/2026,-113.59,c44de260-aa61-4691-8ab0-15134dc57555,Academia
12/05/2026,-170.07,c7654c44-2e36-48bb-9324-8b25519854f3,Luz / Energia elétrica
15/05/2026,-366.78,6ff01f0a-eaad-4aef-ae3c-aedae3bd7ae2,Plano de saúde
15/05/2026,-867.31,4bfe6ae7-2b82-4165-9fc0-fc0c83a0ce16,Supermercado
18/05/2026,-126.75,ad4cc59e-cbfd-40f9-8203-8a628c6b69d0,Água
20/05/2026,-214.32,20153ed6-09d5-4765-82cc-20685796ebb9,Seguro veículo
20/05/2026,-390.20,5acfad66-4c50-43eb-91ad-0414dc00da3e,Combustível
20/05/2026,-197.61,8c6f5bfe-a4f0-4e25-83e3-0547517a731d,Restaurantes / Delivery
20/05/2026,-216.66,99837c4c-c004-4e4d-929e-d4e9fb8aa982,Farmácia
20/05/2026,-563.52,8a825a39-4f7b-464b-b9a9-a9af469fcce2,Manutenção veículo
