Data,Valor,Identificador,Descrição
05/05/2026,-1498.60,bf0b9992-06e4-4fc1-899a-22f5d09b310b,Aluguel / Financiamento imóvel
05/05/2026,4500.00,25f50277-4ee1-4dd1-8c1a-60722fd65949,Salário CLT
05/05/2026,4500.00,cf2cb5a5-b273-40ba-a5d7-c7385eadfac2,Salário CLT
05/05/2026,1200.00,7aebc078-d204-4037-90ff-8e3a4c46148f,Freela design
05/05/2026,1500.00,b982058d-45f6-4f0a-ab93-f5b6c3f9520e,Aluguel recebido
10/05/2026,-120.09,b227d323-bb06-40f5-85e4-d254493227b4,Internet
10/05/2026,-64.93,85e4621f-8156-4a65-8dfd-56b99c4f2801,"Streaming (Netflix, Spotify…)"
10/05/2026,-97.55,c825d20a-e5a7-4cab-a45b-5fe33231acb4,Telefone / Celular
10/05/2026,-96.82,01812df6-1f5f-4b22-b849-df1af6797436,Academia
12/05/2026,-222.74,f8b82cb2-29da-42b4-8d6f-496acd8470c7,Luz / Energia elétrica
15/05/2026,-270.20,89452480-aa12-4479-a954-997419277091,Plano de saúde
15/05/2026,-904.84,31ba4784-dd13-4e55-b3f9-19267404e4de,Supermercado
18/05/2026,-100.21,3580340b-64a0-4bdc-a7aa-d4b84149b33d,Água
20/05/2026,-418.43,1349f5cd-7755-4311-a3ae-1caf1fc79d06,Combustível
20/05/2026,-155.04,4b30a615-7915-4afa-bdd6-bff9c1fe8ff4,Restaurantes / Delivery
20/05/2026,-194.27,59690cd3-e959-4de3-abe7-5b656b1830dd,Farmácia
