Data,Valor,Identificador,Descrição
05/04/2026,-543.89,2417f303-fe33-4bc2-93f2-de716190bb7d,Aluguel / Financiamento imóvel
05/04/2026,2700.00,65573e25-6f37-43a2-8654-1281a7701a18,Freela / Serviço avulso
05/04/2026,1200.00,d5143033-18ca-407f-94c1-9991584c27e2,Freela design
05/04/2026,1500.00,9db87021-0ff6-42b6-8bf2-cc0ccb037a5e,Aluguel recebido
10/04/2026,-69.48,280afbe7-8204-4028-9af7-66ed4f31b196,Internet
10/04/2026,-29.57,6570b014-a0a6-4f7f-bc92-4f4fe039eb35,"Streaming (Netflix, Spotify…)"
10/04/2026,-49.29,292aab89-8297-494d-b9ae-967a5da77ef7,Telefone / Celular
12/04/2026,-80.31,c239ec3c-bbd2-484d-8efe-e1d4cf24ddf8,Luz / Energia elétrica
15/04/2026,-138.76,37c788c6-79d9-476a-97e7-39e47a1a9e36,Plano de saúde
15/04/2026,-291.87,a009c7e8-b8fd-4c53-a4f3-5e028863d088,Supermercado
18/04/2026,-55.77,93a844ac-ef48-4959-a025-39fd5fcbcedc,Água
20/04/2026,-161.24,fccb86da-6db7-4b9e-9456-cb45f8834182,Restaurantes / Delivery
20/04/2026,-88.07,3d412695-32e1-4047-b1a1-014c33a22b30,Transporte público
20/04/2026,-175.13,a8a1537c-35c9-4e1f-a93a-ce00b1da55be,Material escolar
20/04/2026,-139.49,c56ed03a-9303-4c26-827e-24ef21a9605a,Cursos online
