Data,Valor,Identificador,Descrição
05/05/2026,-3166.63,c39904ba-a74c-456a-a93b-ef0d8f868701,Aluguel / Financiamento imóvel
05/05/2026,18000.00,d479c934-b2f0-4481-8342-b4f14380f401,Freela / Serviço avulso
05/05/2026,1200.00,8a17cab9-1684-433d-ab88-6e0e8467fcd7,Freela design
05/05/2026,1500.00,63c5fba4-c43c-4eb6-b432-8dc27a3a7bd5,Aluguel recebido
10/05/2026,-198.47,db37935a-66a3-48da-a1d5-d3ce0bda3982,Internet
10/05/2026,-158.51,e888f013-8757-4917-be10-7c6a9e31cd79,"Streaming (Netflix, Spotify…)"
10/05/2026,-140.73,5984728d-5fe8-4d71-ac39-35ab5216d123,Telefone / Celular
10/05/2026,-187.55,c6d7ad5b-9d62-48cf-9f2e-225d181fbc7e,Academia
10/05/2026,-131.89,9108b863-56f8-44c4-8827-6d87f062f604,TV por assinatura
12/05/2026,-121.95,984c12ef-9234-4862-82b4-b10a31615d39,Luz / Energia elétrica
15/05/2026,-679.08,525e7612-69be-4ae1-a8a2-b8208a22cf37,Plano de saúde
15/05/2026,-821.13,aa065370-11ac-49be-b95d-fa9f1855ef48,Supermercado
18/05/2026,-115.04,5fef578c-65d7-4c58-9db2-a31e3406cd65,Água
20/05/2026,-318.20,0e48cb6a-5752-49ba-91a1-2c9586420b59,Seguro veículo
20/05/2026,-780.81,ee992717-1540-451b-85e2-0b06c2a7c283,Restaurantes / Delivery
20/05/2026,-314.53,72306461-6a07-40f3-a187-2bb9190f73c6,Combustível
20/05/2026,-166.00,49b7c2b7-6382-453e-b92d-e1ceb62a1b8b,Cursos online
