Data,Valor,Identificador,Descrição
05/05/2026,-1511.32,c7ffb6ee-8b60-49bc-9e6c-62efbd8c57b8,Aluguel / Financiamento imóvel
05/05/2026,3000.00,5603fcb3-a76c-4b53-9c4f-9d9df7364e4d,Salário CLT
05/05/2026,4500.00,caf58455-90d4-4fa9-a42c-b9f70eed79d6,Freela / Serviço avulso
05/05/2026,3000.00,c5d5e427-0439-492e-af26-34727b6e63c2,Salário CLT
05/05/2026,1200.00,a944f133-0230-48a8-9efb-1f0059074019,Freela design
05/05/2026,1500.00,fa10850f-b501-42a0-a9df-89b591557992,Aluguel recebido
10/05/2026,-98.53,7e1490ef-630c-4a80-817c-e216cac9d0a7,Internet
10/05/2026,-109.74,bc2d6324-4ae2-47d8-885d-561e7bd6718e,Telefone / Celular
12/05/2026,-218.59,974e393b-a2da-42df-a987-ff91c831b5de,Luz / Energia elétrica
15/05/2026,-318.92,fc4d6e90-fc90-49c5-be09-039c6f0ae778,Plano de saúde
15/05/2026,-595.79,136f7018-5640-4e70-8756-d5d0d45aafec,Supermercado
18/05/2026,-98.58,358c91c7-1d23-4b4f-bb50-e08b2d7b6078,Água
20/05/2026,-177.43,c93d448e-664c-4ed1-bd4a-32de2d69e8a8,Seguro veículo
20/05/2026,-262.17,8549fe9e-e180-4524-be5d-24035b7db1c4,Combustível
20/05/2026,-166.49,53c3865e-7299-47e0-aceb-c7bcaae016ee,Restaurantes / Delivery
20/05/2026,-60.62,f3edbc8c-3c59-40bf-911a-824e406b3139,Farmácia
