Data,Valor,Identificador,Descrição
05/05/2026,-1401.58,69bc1ace-acaa-4fb0-9e5a-bea8efa23fca,Aluguel / Financiamento imóvel
05/05/2026,6500.00,6e2b0820-7802-47fa-abcd-63bcd306a597,Salário CLT
05/05/2026,800.00,c2f283b5-2510-45df-bee7-8903926fa6b5,Freela / Serviço avulso
05/05/2026,6500.00,8e38e400-9b31-480c-b970-29138fd29e27,Salário CLT
05/05/2026,1200.00,9edb7d57-e8f5-49a6-894e-7a35c1301d84,Freela design
05/05/2026,1500.00,21de61fe-9214-4363-9cbb-8670aa84c3b8,Aluguel recebido
10/05/2026,-109.29,1a68bb5e-2288-48ad-9078-c0395d6d2d9d,Internet
10/05/2026,-60.90,98396157-d950-48cd-8312-eb16e741573a,"Streaming (Netflix, Spotify…)"
10/05/2026,-91.08,3cea9ef3-c7c8-4380-86dd-50ce69af6efb,Telefone / Celular
10/05/2026,-80.27,0f611edb-4695-4347-95ef-8b598fa4100d,Academia
12/05/2026,-186.47,9cc74ccc-90a5-4ae0-ad26-bdaadf5b565c,Luz / Energia elétrica
15/05/2026,-275.66,70b40d81-eb4f-467b-932f-db10465d1d0d,Plano de saúde
15/05/2026,-665.81,e4bc3d1c-3321-457d-8236-21fc2ff83f28,Supermercado
18/05/2026,-73.34,2f4d90a0-6b61-4634-b03d-672fedf476b0,Água
20/05/2026,-177.86,a6dbbf7f-f78d-42e1-bc39-6eae8a0441d4,Seguro veículo
20/05/2026,-397.20,c5d7b67a-e5a3-4421-a329-220e480f68e4,Combustível
20/05/2026,-415.08,c064fdaa-995f-47a4-8391-c92ccd3cde12,Restaurantes / Delivery
20/05/2026,-166.86,2b3c5c85-1613-411b-b2aa-cac897963fd3,Farmácia
