Data,Valor,Identificador,Descrição
05/03/2026,-1533.20,62006b1d-19f5-445d-84d7-a46ad9617221,Aluguel / Financiamento imóvel
05/03/2026,7200.00,c697b754-3271-4adc-96c7-5c497b05edab,Salário CLT
05/03/2026,1200.00,ec495a02-ddd8-492b-96cf-dcc7d2843904,Freela / Serviço avulso
05/03/2026,7200.00,70340ec6-dd50-47ee-9895-c3d779a53820,Salário CLT
05/03/2026,1200.00,537f345a-97ba-4397-955d-206945e07f7e,Freela design
05/03/2026,1500.00,9a82f002-9baa-4e29-9d34-e799babd9b16,Aluguel recebido
10/03/2026,-119.24,af16e631-0434-4c40-b245-33deaf498946,Internet
10/03/2026,-50.43,ef573e44-e042-4038-a9f6-65507933984e,"Streaming (Netflix, Spotify…)"
10/03/2026,-91.17,a904c729-392d-4407-a18b-d77217ea9b53,Telefone / Celular
10/03/2026,-91.76,41d20080-046e-4c46-95ec-7df467ca8950,Academia
12/03/2026,-136.88,cc4545c7-4cda-423e-8a81-05dc51c77706,Luz / Energia elétrica
15/03/2026,-316.74,61a2d5a4-6f87-405c-8027-c3cd5d03c3d1,Plano de saúde
15/03/2026,-808.18,447e5642-f0fa-456f-9c71-6bea40727ae0,Supermercado
18/03/2026,-114.97,5528032a-1550-4236-84cf-cdcba79571f5,Água
20/03/2026,-455.98,adba9ff4-82c2-4265-9e44-580b12af80d7,Combustível
20/03/2026,-194.85,a2fc04a7-9c2e-4e63-a70f-f1c4f0f3289a,Restaurantes / Delivery
20/03/2026,-104.43,cae1c42b-9d5b-4ea0-93bb-79a2001e80f8,Farmácia
20/03/2026,-125.88,bf8ddc8b-d9f8-4371-9802-62060e94baf7,Manutenção veículo
