Data,Valor,Identificador,Descrição
05/04/2026,-1389.94,1102766c-c75a-473e-9454-0f75bc7ea859,Aluguel / Financiamento imóvel
05/04/2026,4800.00,5f9945e0-576b-4199-942e-ea09fa88b57e,Salário CLT
05/04/2026,4800.00,e0d03401-846a-48a8-b252-c0a1dd78dc6e,Salário CLT
05/04/2026,1200.00,867cf406-a86a-4566-9faf-43ee680b4668,Freela design
05/04/2026,1500.00,72ba84dd-60eb-44d4-aeb8-e79df650f916,Aluguel recebido
10/04/2026,-103.19,b57c59e9-66aa-4fc2-8718-120ba677bf3b,Internet
10/04/2026,-58.38,855e2160-f3f2-49a8-a9ea-46bef472648c,"Streaming (Netflix, Spotify…)"
10/04/2026,-92.59,450b72ef-3f70-4972-abd4-4f1e9fccbf44,Telefone / Celular
12/04/2026,-236.62,5966f1d2-a504-4a6b-a7ee-9e7ce38b9b72,Luz / Energia elétrica
15/04/2026,-261.66,22b5cedb-07c0-4e42-8ff9-468dd9287b6c,Plano de saúde
15/04/2026,-660.31,4175c876-cbea-4baa-862c-0a76f23348c8,Supermercado
18/04/2026,-138.31,42675ad3-f8cc-4599-8ba0-9448182f1ba7,Água
18/04/2026,-980.00,56e4dd2c-57cc-4810-9ec2-bb865bf3a2b8,Fatura cartão Nubank (atraso 35d)
20/04/2026,-491.13,62a26918-7ac1-45f6-9464-d2322e6f1dfb,Combustível
20/04/2026,-293.16,38e7acce-fae8-4d64-9ac1-ba7f3dd4b5f8,Restaurantes / Delivery
20/04/2026,-277.22,69781973-85b5-43f8-95c9-f79473c86580,Farmácia
