Data,Valor,Identificador,Descrição
05/04/2026,-1339.12,ae7e4d83-5e28-4e16-8de8-102cb5432fcf,Aluguel / Financiamento imóvel
05/04/2026,7000.00,27c0cbd5-8e80-43eb-8591-15a095b0f271,Salário CLT
05/04/2026,600.00,0ee95740-6850-4f47-8757-39525c337960,Freela / Serviço avulso
05/04/2026,7000.00,a79be75d-b195-4a08-99fb-90c691f93678,Salário CLT
05/04/2026,1200.00,04c60659-b5a8-4721-bcc1-fc568292b0b8,Freela design
05/04/2026,1500.00,3f0977cf-2b2c-4ef7-a9a2-c787b9bc59a2,Aluguel recebido
10/04/2026,-111.09,3165b4b0-7c30-450f-ac24-1c03067b1348,Internet
10/04/2026,-49.32,867541b8-f710-4a14-b5be-62e050019353,"Streaming (Netflix, Spotify…)"
10/04/2026,-79.42,0b1ac5b2-6d7a-4451-940d-ba14fbaf54fc,Telefone / Celular
10/04/2026,-78.28,1e7620cb-f1b7-4bb9-a350-7364c0e663b5,Academia
12/04/2026,-176.58,414083f6-65bd-42e0-a48e-e3396aaa4cb9,Luz / Energia elétrica
15/04/2026,-289.87,09db38a4-fc69-4d72-bd0e-e4833d97453d,Plano de saúde
15/04/2026,-626.66,0e9248b6-02ec-42bf-8226-010ecc3f24b0,Supermercado
18/04/2026,-74.63,2330c93f-663a-493a-8f75-2cf2cfbb162b,Água
20/04/2026,-393.19,6b354aac-821d-4389-8111-dab30a59877e,Combustível
20/04/2026,-151.77,4420a28a-9fa9-4378-b5e2-3fe84d723f36,Restaurantes / Delivery
20/04/2026,-80.97,e534669c-9b91-4536-abff-dd138b22bb7d,Farmácia
20/04/2026,-198.18,e754565c-b033-4713-ab84-2359016073ed,Manutenção veículo
