Data,Valor,Identificador,Descrição
05/04/2026,-1826.61,23bbf664-4f86-4110-b213-cb5dc50f5ea4,Aluguel / Financiamento imóvel
05/04/2026,8500.00,f0d51490-e8a4-4cd7-8e48-ae8cd35d793b,Salário CLT
05/04/2026,1800.00,37db5d47-be95-4d46-b02b-42cee1b23466,Freela / Serviço avulso
05/04/2026,8500.00,83f35cf2-2e04-4cba-9308-03be56e2c5b2,Salário CLT
05/04/2026,1200.00,b8501e68-8e74-45ef-801d-f0846530b6d4,Freela design
05/04/2026,1500.00,81430231-d392-45a9-ab89-de22177c0a62,Aluguel recebido
10/04/2026,-129.25,2cb8e053-74a7-4205-aba8-926d8eb34456,Internet
10/04/2026,-81.38,e8cb5a64-a169-4a7e-8a41-3883385bef94,"Streaming (Netflix, Spotify…)"
10/04/2026,-88.53,4d8ed351-c17e-471e-95e3-72c98d6f90d6,Telefone / Celular
10/04/2026,-98.58,787ca563-6021-4845-b685-38319a813ade,Academia
10/04/2026,-76.59,f0400292-c2d0-4a24-9f5d-645976ae141b,TV por assinatura
12/04/2026,-162.79,152b23de-f44b-4722-9e61-046e0558d1e4,Luz / Energia elétrica
15/04/2026,-413.83,53107b66-f881-4ce7-81c5-fb6154508a65,Plano de saúde
15/04/2026,-931.50,3b42dfca-6314-4bf7-92b0-fa89ac723e28,Supermercado
18/04/2026,-134.51,47ff15b2-d8b6-4844-90c1-c88248be1b05,Água
20/04/2026,-222.95,e50fc38d-c92b-4cb7-8320-bf029b2bba72,Seguro veículo
20/04/2026,-555.84,dce97af9-1875-4478-a852-14f47d04a7dd,Combustível
20/04/2026,-243.43,7d88626b-064b-4b47-952e-2b24e283a844,Restaurantes / Delivery
20/04/2026,-173.25,c1f44ec0-0dbd-4e17-9771-cb6f3441f9cf,Farmácia
