Data,Valor,Identificador,Descrição
05/03/2026,-2829.77,03322fbf-20e0-484b-8b97-4daadbf30386,Aluguel / Financiamento imóvel
05/03/2026,14000.00,d36c9d56-0dc4-4ed6-993d-d841f6daab76,Salário CLT
05/03/2026,3500.00,cb1290d6-b7d5-4a2f-89e8-6adc54277b7d,Freela / Serviço avulso
05/03/2026,14000.00,bc756e8b-4ee0-4caa-9bf9-8d121fc1fb60,Salário CLT
05/03/2026,1200.00,959d1f67-567b-4bf1-84fb-08e84ccbbe6d,Freela design
05/03/2026,1500.00,11fd4417-069f-4484-9dd1-11eb524c364d,Aluguel recebido
10/03/2026,-150.77,9b90d584-a674-4a36-b47a-decc89e57225,Internet
10/03/2026,-99.40,6504776c-c8f0-4e0c-8f2e-005830b74670,"Streaming (Netflix, Spotify…)"
10/03/2026,-129.25,52e0a62b-142e-4baf-a06d-2c6dd8c2b99e,Telefone / Celular
10/03/2026,-151.77,9435ce1a-fa26-4c20-8f8f-71649bda65d9,Academia
10/03/2026,-74.79,bd6b3639-f130-4c08-8ffa-6c9cb27c5f23,TV por assinatura
12/03/2026,-381.26,9fb425a6-ad9b-468c-b855-8beba98d367b,Luz / Energia elétrica
15/03/2026,-678.60,4ac93838-edf1-48f0-82bb-2e64277f3eb4,Plano de saúde
15/03/2026,-989.14,44f5eaf4-76e8-4740-a39a-d67791d94ee6,Supermercado
18/03/2026,-112.41,ae58ec26-6097-41c7-82a6-588a7972be5a,Água
20/03/2026,-413.59,f7ffe837-c9e6-424f-8e48-de77cfb970dc,Seguro veículo
20/03/2026,-639.04,37738de5-7a72-401a-add2-e96ec8db3248,Combustível
20/03/2026,-759.55,38879798-f8ca-4eaf-9ded-5e584ad02566,Restaurantes / Delivery
20/03/2026,-261.14,bfd60d38-7e89-4159-98af-96b1d46f3a59,Farmácia
20/03/2026,-413.11,95ac0c2a-38d1-49bc-b876-d34f16e4dd21,Manutenção veículo
