Data,Valor,Identificador,Descrição
05/04/2026,-1205.04,89d52ae4-b94b-46de-9cfe-1137cb565990,Aluguel / Financiamento imóvel
05/04/2026,1500.00,9c47e328-88d5-402e-add4-2a0703849765,Freela / Serviço avulso
05/04/2026,1200.00,6e0e6e89-bc8b-41c7-9d74-206c31e30303,Freela design
05/04/2026,1500.00,8c97355b-0b8c-49c0-a7f1-90a5af39714b,Aluguel recebido
10/04/2026,-99.70,1d1c391a-1d5f-43a8-89aa-930718c0df1a,Internet
10/04/2026,-100.20,bfd9aa0d-ad84-462f-8cbe-084376a84f4e,Telefone / Celular
12/04/2026,-102.22,ff13db28-d8a8-4aaa-b92b-a3f04a53abbf,Luz / Energia elétrica
15/04/2026,-238.77,21204a8a-50ca-4893-a1b2-336923b8eba1,Plano de saúde
15/04/2026,-512.40,5f6ae378-7f91-4e51-ab33-05683595eac0,Supermercado
18/04/2026,-82.53,2d46812f-fda2-4969-80bf-dded650cfbf2,Água
20/04/2026,-218.83,8d4c2662-03f4-4cd9-bcca-db04b66d1f82,Seguro veículo
20/04/2026,-505.81,0d9c2c2e-7a30-408e-84c5-787537c264f5,Combustível
20/04/2026,-168.50,a7d04a56-0baf-4657-90c1-35268dfd47aa,Restaurantes / Delivery
