Data,Valor,Identificador,Descrição
05/04/2026,-894.59,90cd19e1-6731-4688-aa79-864d378894c7,Aluguel / Financiamento imóvel
05/04/2026,5500.00,890d9d8f-c5f4-4e13-98e5-7ef171ab8ea1,Salário CLT
05/04/2026,5500.00,0bce5cfa-de1f-4b00-a2f4-16cce76dce7b,Salário CLT
05/04/2026,1200.00,dde4f642-ac00-42c0-b034-95f91a4e66ec,Freela design
05/04/2026,1500.00,3ed9449d-6ca3-47f8-9070-3190a6289243,Aluguel recebido
10/04/2026,-88.90,eb504b37-268c-4774-bb32-a8d0c14d2470,Internet
10/04/2026,-39.41,ab4ae352-0695-45a2-9317-38e3eb357f78,"Streaming (Netflix, Spotify…)"
10/04/2026,-81.39,71867cb8-fb0f-42d7-b0f2-9cdf95ce7805,Telefone / Celular
10/04/2026,-68.59,ca032cc2-121e-497b-8f63-02e9b06abba8,Academia
12/04/2026,-147.66,cd9c37f3-997b-48ef-ada1-edb5b1c8473a,Luz / Energia elétrica
15/04/2026,-188.32,6344fd14-7393-4d67-a64b-58d0e737ffd1,Plano de saúde
15/04/2026,-794.34,c0dfead9-efe8-4e53-ad01-7e598f9e3c5a,Supermercado
18/04/2026,-75.68,1a5a740b-2974-4fd2-9d60-127b42af4374,Água
20/04/2026,-220.76,a29e0a10-a69e-488f-991c-71aa3645d766,Combustível
20/04/2026,-214.75,24019c36-206a-4086-995e-c7854d71c402,Restaurantes / Delivery
20/04/2026,-91.76,92bbf570-51c0-40ac-ac47-032f55db4761,Farmácia
20/04/2026,-159.01,4262b95b-182a-47a7-95f4-89118ae62c8c,Manutenção veículo
