Data,Valor,Identificador,Descrição
05/03/2026,-1082.67,06162a48-3349-4b38-8c04-448bc7446489,Aluguel / Financiamento imóvel
05/03/2026,2500.00,72507992-0488-45b8-9be8-a8181338226a,Freela / Serviço avulso
05/03/2026,1800.00,4d4cac22-b2bb-4fc2-b849-1be0a61ccc80,Aluguel recebido
05/03/2026,1200.00,1423a40f-197a-4343-beb3-6272c5ec76e4,Freela design
05/03/2026,1800.00,b11c238e-4bb2-41ff-835f-4e6e313cdfdf,Aluguel recebido
10/03/2026,-99.77,6f9fe392-cc32-4dfb-a256-b00035cc52f9,Internet
10/03/2026,-39.82,8cd1dd95-5cac-4fab-855f-84f0336ff6e0,"Streaming (Netflix, Spotify…)"
10/03/2026,-91.50,59e72776-ad7e-4fbf-a087-ffb969fb8f5f,Telefone / Celular
12/03/2026,-101.51,3cb35e0d-99cd-4ec4-b440-ebb0b5be8d41,Luz / Energia elétrica
15/03/2026,-206.61,4f8957e3-9293-4e7d-90b1-500a24eb7c39,Plano de saúde
15/03/2026,-688.81,6ad14fd2-f396-40a0-bb27-109154455d6b,Supermercado
18/03/2026,-72.70,c31e99b6-1534-487e-863a-eec2d7e8b139,Água
20/03/2026,-271.39,f6cd78f6-d476-4c63-ba8c-2d689dd609f1,Combustível
20/03/2026,-102.31,d5ed68d8-456e-4a3a-a4c9-96fdca0de425,Restaurantes / Delivery
20/03/2026,-71.60,db7c5681-27dd-40ed-b75e-df754e866738,Farmácia
20/03/2026,-120.34,31b56233-18ba-481e-9178-cf6d840caace,Cursos online
